name,url,type,rank,subscribers,country,language
Telegram @vitaliy_klitschko,https://t.me/s/vitaliy_klitschko,telegram_paid,41,185000
Telegram @volodymyrzolkin,https://t.me/s/volodymyrzolkin,telegram_paid,42,185000
Telegram @eto_zp,https://t.me/s/eto_zp,telegram_paid,43,176000
Telegram @bratchuk_sergey,https://t.me/s/bratchuk_sergey,telegram_paid,44,172000
Telegram @k_2army,https://t.me/s/k_2army,telegram_paid,45,165000
Telegram @serhii_flash,https://t.me/s/serhii_flash,telegram_paid,46,162000
Telegram @dubinskypro,https://t.me/s/dubinskypro,telegram_paid,47,152000
Telegram @ihor_terekhov,https://t.me/s/ihor_terekhov,telegram_paid,48,148000
Telegram @berezajuice,https://t.me/s/berezajuice,telegram_paid,49,144000
Telegram @gruntmedia,https://t.me/s/gruntmedia,telegram_paid,50,142000
Telegram @a_shtirlitz,https://t.me/s/a_shtirlitz,telegram_paid,51,141000
Telegram @operinform,https://t.me/s/operinform,telegram_paid,52,138000
Telegram @novinach,https://t.me/s/novinach,telegram_paid,53,137000
Telegram @shelestlive,https://t.me/s/shelestlive,telegram_paid,54,137000
Telegram @kozytskyy_maksym_official,https://t.me/s/kozytskyy_maksym_official,telegram_paid,55,135000
Telegram @ukr_sof,https://t.me/s/ukr_sof,telegram_paid,56,135000
Telegram @informnapalm,https://t.me/s/informnapalm,telegram_paid,57,132000
Telegram @dnipro_now,https://t.me/s/dnipro_now,telegram_paid,58,121000
Telegram @serhiyprytula,https://t.me/s/serhiyprytula,telegram_paid,59,121000
Telegram @zsuwar,https://t.me/s/zsuwar,telegram_paid,60,114000
Telegram @foreverforfreedom,https://t.me/s/foreverforfreedom,telegram_paid,61,110000
Telegram @odessa_hello,https://t.me/s/odessa_hello,telegram_paid,62,109000
Telegram @gistapapapa,https://t.me/s/gistapapapa,telegram_paid,63,107000
Telegram @odessadumskayanet,https://t.me/s/odessadumskayanet,telegram_paid,64,102000
Telegram @office_ua,https://t.me/s/office_ua,telegram_paid,65,102000
Telegram @yzheleznyak,https://t.me/s/yzheleznyak,telegram_paid,66,101000
Telegram @hromadske_ua,https://t.me/s/hromadske_ua,telegram_paid,67,99700
Telegram @svoboda_radio,https://t.me/s/svoboda_radio,telegram_paid,68,99400
Telegram @verkhovnaradaukrainy,https://t.me/s/verkhovnaradaukrainy,telegram_paid,69,99300
Telegram @shrikenews,https://t.me/s/shrikenews,telegram_paid,70,94900
Telegram @usinfantryman1,https://t.me/s/usinfantryman1,telegram_paid,71,93600
Telegram @regionality,https://t.me/s/regionality,telegram_paid,72,93400
Telegram @andriysadovyi,https://t.me/s/andriysadovyi,telegram_paid,73,87000
Telegram @prankota_ch,https://t.me/s/prankota_ch,telegram_paid,74,86700
Telegram @kyivoda,https://t.me/s/kyivoda,telegram_paid,75,86600
Telegram @zloyodessit,https://t.me/s/zloyodessit,telegram_paid,76,82100
Telegram @op_ua,https://t.me/s/op_ua,telegram_paid,77,80800
Telegram @borys_filatovv,https://t.me/s/borys_filatovv,telegram_paid,78,80600
Telegram @babchenko77,https://t.me/s/babchenko77,telegram_paid,79,80300
Telegram @synegubov,https://t.me/s/synegubov,telegram_paid,80,79700
Telegram @trybunabrovary,https://t.me/s/trybunabrovary,telegram_paid,81,76800
Telegram @petrushevskyi,https://t.me/s/petrushevskyi,telegram_paid,82,74200
Telegram @vglagola,https://t.me/s/vglagola,telegram_paid,83,74000
Telegram @babel,https://t.me/s/babel,telegram_paid,84,73800
Telegram @dsns_telegram,https://t.me/s/dsns_telegram,telegram_paid,85,72200
Telegram @poltavskaova,https://t.me/s/poltavskaova,telegram_paid,86,71000
Telegram @mvs_ukraine,https://t.me/s/mvs_ukraine,telegram_paid,87,68700
Telegram @ministry_of_defense_ua,https://t.me/s/ministry_of_defense_ua,telegram_paid,88,65600
Telegram @vidsichu,https://t.me/s/vidsichu,telegram_paid,89,65300
Telegram @ukrainian_militant,https://t.me/s/ukrainian_militant,telegram_paid,90,62000
Telegram @dsszzi_official,https://t.me/s/dsszzi_official,telegram_paid,91,60900
Telegram @dpsukr,https://t.me/s/dpsukr,telegram_paid,92,59400
Telegram @bihusinfo,https://t.me/s/bihusinfo,telegram_paid,93,57400
Telegram @channel5ua,https://t.me/s/channel5ua,telegram_paid,94,55600
Telegram @bbcukrainian,https://t.me/s/bbcukrainian,telegram_paid,95,54400
Telegram @sudua,https://t.me/s/sudua,telegram_paid,96,52300
Telegram @centercounteringdisinformation,https://t.me/s/centercounteringdisinformation,telegram_paid,97,52200
Telegram @ua_national_police,https://t.me/s/ua_national_police,telegram_paid,98,52200
Telegram @ukrainachp,https://t.me/s/ukrainachp,telegram_paid,99,51100
Telegram @teletkach,https://t.me/s/teletkach,telegram_paid,100,50900
Telegram @darnicalive,https://t.me/s/darnicalive,telegram_paid,101,50600
Telegram @junior_dou_ua,https://t.me/s/junior_dou_ua,telegram_paid,102,50500
Telegram @molfar_global,https://t.me/s/molfar_global,telegram_paid,103,50100
Telegram @analityka_kush,https://t.me/s/analityka_kush,telegram_paid,104,48500
Telegram @chornovil_official,https://t.me/s/chornovil_official,telegram_paid,105,47400
Telegram @vitalykoval8,https://t.me/s/vitalykoval8,telegram_paid,106,45900
Telegram @spravdi,https://t.me/s/spravdi,telegram_paid,107,45200
Telegram @dnipropetrovskaoda,https://t.me/s/dnipropetrovskaoda,telegram_paid,108,45100
Telegram @tax_gov_ua,https://t.me/s/tax_gov_ua,telegram_paid,109,44800
Telegram @landforcesofukraine,https://t.me/s/landforcesofukraine,telegram_paid,110,42500
Telegram @krokoodil,https://t.me/s/krokoodil,telegram_paid,111,41900
Telegram @romanshrike,https://t.me/s/romanshrike,telegram_paid,112,41500
Telegram @doucommunity,https://t.me/s/doucommunity,telegram_paid,113,41100
Telegram @nab_ukraine,https://t.me/s/nab_ukraine,telegram_paid,114,40100
Telegram @gudymenko_official,https://t.me/s/gudymenko_official,telegram_paid,115,38200
Telegram @odeskaoda,https://t.me/s/odeskaoda,telegram_paid,116,37700
Telegram @mozofficial,https://t.me/s/mozofficial,telegram_paid,117,37600
Telegram @costukraine,https://t.me/s/costukraine,telegram_paid,118,36600
Telegram @chernigivskaoda,https://t.me/s/chernigivskaoda,telegram_paid,119,35700
Telegram @humpolitic,https://t.me/s/humpolitic,telegram_paid,120,34500
Telegram @plinskiymedia,https://t.me/s/plinskiymedia,telegram_paid,121,33500
Telegram @voicecrimea,https://t.me/s/voicecrimea,telegram_paid,122,33200
Telegram @ukrchan,https://t.me/s/ukrchan,telegram_paid,123,30300
Telegram @chernivetskaoda,https://t.me/s/chernivetskaoda,telegram_paid,124,30200
Telegram @novostyukraine,https://t.me/s/novostyukraine,telegram_paid,125,29400
Telegram @zhytomyrskaoda,https://t.me/s/zhytomyrskaoda,telegram_paid,126,29400
Telegram @gordonuacom,https://t.me/s/gordonuacom,telegram_paid,127,29000
Telegram @myalgorhythm,https://t.me/s/myalgorhythm,telegram_paid,128,28900
Telegram @seredych,https://t.me/s/seredych,telegram_paid,129,28500
Telegram @katimsya,https://t.me/s/katimsya,telegram_paid,130,28100
Telegram @lvivvscoronavirus,https://t.me/s/lvivvscoronavirus,telegram_paid,131,27500
Telegram @sonyakoshkina,https://t.me/s/sonyakoshkina,telegram_paid,132,27100
Telegram @andriyshtime,https://t.me/s/andriyshtime,telegram_paid,133,26900
Telegram @kopytkoav,https://t.me/s/kopytkoav,telegram_paid,134,26800
Telegram @mag_vodogray,https://t.me/s/mag_vodogray,telegram_paid,135,26000
Telegram @maxbuzhanskiy,https://t.me/s/maxbuzhanskiy,telegram_paid,136,25800
Telegram @firstladyofukraine,https://t.me/s/firstladyofukraine,telegram_paid,137,25700
Telegram @tysknip,https://t.me/s/tysknip,telegram_paid,138,25700
Telegram @kapvey_s,https://t.me/s/kapvey_s,telegram_paid,139,25200
Telegram @bryhynets,https://t.me/s/bryhynets,telegram_paid,140,25000
Telegram @pgo_gov_ua,https://t.me/s/pgo_gov_ua,telegram_paid,141,24800
Telegram @fuckcorruption,https://t.me/s/fuckcorruption,telegram_paid,142,22900
Telegram @mrplsprotyv,https://t.me/s/mrplsprotyv,telegram_paid,143,22600
Telegram @yuragnatyuk,https://t.me/s/yuragnatyuk,telegram_paid,144,22600
Telegram @volynskaoda,https://t.me/s/volynskaoda,telegram_paid,145,22300
Telegram @energoatom_ua,https://t.me/s/energoatom_ua,telegram_paid,146,22200
Telegram @viyukraine,https://t.me/s/viyukraine,telegram_paid,147,22000
Telegram @antikor_ua,https://t.me/s/antikor_ua,telegram_paid,148,21700
Telegram @nazk_gov_ua,https://t.me/s/nazk_gov_ua,telegram_paid,149,21700
Telegram @comafua,https://t.me/s/comafua,telegram_paid,150,21500
Telegram @ukrayinci,https://t.me/s/ukrayinci,telegram_paid,151,21100
Telegram @drukarmy,https://t.me/s/drukarmy,telegram_paid,152,20800
Telegram @borodatayaba,https://t.me/s/borodatayaba,telegram_paid,153,20600
Telegram @igtrip,https://t.me/s/igtrip,telegram_paid,154,20500
Telegram @khersonskaoda,https://t.me/s/khersonskaoda,telegram_paid,155,20500
Telegram @kyiv_capitalcity,https://t.me/s/kyiv_capitalcity,telegram_paid,156,20300
Telegram @onyshchuksvitlana,https://t.me/s/onyshchuksvitlana,telegram_paid,157,20100
Telegram @charkov_tut,https://t.me/s/charkov_tut,telegram_paid,158,19600
Telegram @podslyshenopolice,https://t.me/s/podslyshenopolice,telegram_paid,159,19600
Telegram @ebanutiy_kiev,https://t.me/s/ebanutiy_kiev,telegram_paid,160,19400
Telegram @khmelnytskaoda,https://t.me/s/khmelnytskaoda,telegram_paid,161,19400
Telegram @hueviykiev,https://t.me/s/hueviykiev,telegram_paid,162,19300
Telegram @irynagerashchenko,https://t.me/s/irynagerashchenko,telegram_paid,163,19200
Telegram @ternopilskaoda,https://t.me/s/ternopilskaoda,telegram_paid,164,18500
Telegram @denys_smyhal,https://t.me/s/denys_smyhal,telegram_paid,165,18000
Telegram @ze_team2019,https://t.me/s/ze_team2019,telegram_paid,166,18000
Telegram @the_capital_of_freedom,https://t.me/s/the_capital_of_freedom,telegram_paid,167,17400
Telegram @armyofukraine,https://t.me/s/armyofukraine,telegram_paid,168,16700
Telegram @cxemu,https://t.me/s/cxemu,telegram_paid,169,16700
Telegram @soldiersofukraine,https://t.me/s/soldiersofukraine,telegram_paid,170,16700
Telegram @boroshnonews,https://t.me/s/boroshnonews,telegram_paid,171,15700
Telegram @nataliazabolotna_vinoda,https://t.me/s/nataliazabolotna_vinoda,telegram_paid,172,15000
Telegram @vitaliyshabunin,https://t.me/s/vitaliyshabunin,telegram_paid,173,14900
Telegram @donbassrealii,https://t.me/s/donbassrealii,telegram_paid,174,14500
Telegram @nbu_ua,https://t.me/s/nbu_ua,telegram_paid,175,13500
Telegram @kryuchoktv,https://t.me/s/kryuchoktv,telegram_paid,176,13200
Telegram @luhanskavtsa,https://t.me/s/luhanskavtsa,telegram_paid,177,12900
Telegram @nashigroshiua,https://t.me/s/nashigroshiua,telegram_paid,178,12700
Telegram @nabudaily,https://t.me/s/nabudaily,telegram_paid,179,12300
Telegram @annamaliar,https://t.me/s/annamaliar,telegram_paid,180,12000
Telegram @solovei_ihor,https://t.me/s/solovei_ihor,telegram_paid,181,11800
Telegram @leshchenkos,https://t.me/s/leshchenkos,telegram_paid,182,11300
Telegram @molniaua,https://t.me/s/molniaua,telegram_paid,183,11300
Telegram @hello_rada,https://t.me/s/hello_rada,telegram_paid,184,11000
Telegram @lbua_official,https://t.me/s/lbua_official,telegram_paid,185,10900
Telegram @maxgadyukin,https://t.me/s/maxgadyukin,telegram_paid,186,10800
Telegram @valentynaeminova,https://t.me/s/valentynaeminova,telegram_paid,187,10800
Telegram @dmytro_razumkov_official,https://t.me/s/dmytro_razumkov_official,telegram_paid,188,10400
Telegram @sap_gov_ua,https://t.me/s/sap_gov_ua,telegram_paid,189,10400
Telegram @smertvorogam,https://t.me/s/smertvorogam,telegram_paid,190,9660
Telegram @blog_gdevkievezhithorosho,https://t.me/s/blog_gdevkievezhithorosho,telegram_paid,191,9400
Telegram @zakarpatskaoda,https://t.me/s/zakarpatskaoda,telegram_paid,192,8660
Telegram @spekamedia,https://t.me/s/spekamedia,telegram_paid,193,8240
Telegram @pavlokyrylenko_amcu,https://t.me/s/pavlokyrylenko_amcu,telegram_paid,194,7900
Telegram @deppstrikepilot,https://t.me/s/deppstrikepilot,telegram_paid,195,7370
Telegram @kyiv_startech,https://t.me/s/kyiv_startech,telegram_paid,196,6420
Telegram @vse_hody_zapisany,https://t.me/s/vse_hody_zapisany,telegram_paid,197,6250
Telegram @vechirniykyiv_ua,https://t.me/s/vechirniykyiv_ua,telegram_paid,198,5810
Telegram @malenko_kyiv,https://t.me/s/malenko_kyiv,telegram_paid,199,5430
Telegram @nglmedia,https://t.me/s/nglmedia,telegram_paid,200,5330
Telegram @cringedepartment,https://t.me/s/cringedepartment,telegram_paid,201,5190
Telegram @honest_customs,https://t.me/s/honest_customs,telegram_paid,202,4800
Telegram @uop_official,https://t.me/s/uop_official,telegram_paid,203,4800
Telegram @mezhamedia,https://t.me/s/mezhamedia,telegram_paid,204,4690
Telegram @dashazarivna,https://t.me/s/dashazarivna,telegram_paid,205,4320
Telegram @rubryka,https://t.me/s/rubryka,telegram_paid,206,4190
Telegram @notindifferent,https://t.me/s/notindifferent,telegram_paid,207,4019
Telegram @nazars_look,https://t.me/s/nazars_look,telegram_paid,208,3920
Telegram @ecorubric,https://t.me/s/ecorubric,telegram_paid,209,3840
Telegram @chief_rabbi_of_ukraine,https://t.me/s/chief_rabbi_of_ukraine,telegram_paid,210,3570
Telegram @novostiukraina24,https://t.me/s/novostiukraina24,telegram_paid,211,3400
Telegram @uksatse_official,https://t.me/s/uksatse_official,telegram_paid,212,3250
Telegram @prytulafoundation,https://t.me/s/prytulafoundation,telegram_paid,213,3030
Telegram @ambassador_brodsky,https://t.me/s/ambassador_brodsky,telegram_paid,214,2990
Telegram @nssmc_ukraine,https://t.me/s/nssmc_ukraine,telegram_paid,215,2860
Telegram @fightcorruptor,https://t.me/s/fightcorruptor,telegram_paid,216,2840
Telegram @uchooseinfo,https://t.me/s/uchooseinfo,telegram_paid,217,2360
Telegram @agency_for_restoration,https://t.me/s/agency_for_restoration,telegram_paid,218,2260
Telegram @politikaukraine,https://t.me/s/politikaukraine,telegram_paid,219,2180
Telegram @shrammoleg,https://t.me/s/shrammoleg,telegram_paid,220,1940
Telegram @gazetaua_news,https://t.me/s/gazetaua_news,telegram_paid,221,1680
Telegram @metinvest,https://t.me/s/metinvest,telegram_paid,222,1620
Telegram @arma_gov,https://t.me/s/arma_gov,telegram_paid,223,1040
Telegram @ebaukr,https://t.me/s/ebaukr,telegram_paid,224,1010
Telegram @tipichnoe_xtz,https://t.me/s/tipichnoe_xtz,telegram_paid,225,730
Telegram @antitrustua,https://t.me/s/antitrustua,telegram_paid,226,727
Telegram @fastfocus,https://t.me/s/fastfocus,telegram_paid,227,583
Telegram @presidentporoshenko,https://t.me/s/presidentporoshenko,telegram_paid,228,369
Telegram @mortisaeternadpm,https://t.me/s/mortisaeternadpm,telegram_paid,229,0
Telegram @ukr_125,https://t.me/s/ukr_125,telegram_paid,230,0
